model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
2572,8,83.61,83.66,83.61,83.23,83.22,66.96,83.54,3.99,70.98,"{'criterion': 'gini', 'n_estimators': 128}"
2571,8,83.61,83.66,83.61,83.23,83.22,66.96,83.54,0.0,70.98,"{'criterion': 'gini', 'n_estimators': 127}"
2570,8,83.61,83.66,83.61,83.23,83.22,66.96,83.54,8.42,70.98,"{'criterion': 'gini', 'n_estimators': 126}"
2625,9,85.25,85.48,85.25,84.74,84.74,70.4,85.15,87.47,72.62,"{'criterion': 'entropy', 'n_estimators': 94}"
2623,9,85.25,85.48,85.25,84.74,84.74,70.4,85.15,75.29,72.62,"{'criterion': 'entropy', 'n_estimators': 92}"
2718,9,85.25,85.48,85.25,84.74,84.74,70.4,85.15,0.7,72.62,"{'criterion': 'gini', 'n_estimators': 115}"
2717,9,85.25,85.48,85.25,84.74,84.74,70.4,85.15,3.24,72.62,"{'criterion': 'gini', 'n_estimators': 114}"
2716,9,85.25,85.48,85.25,84.74,84.74,70.4,85.15,0.95,72.62,"{'criterion': 'gini', 'n_estimators': 113}"
2918,10,88.52,88.54,88.52,88.31,88.31,76.87,88.51,69.21,75.95,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 51}"
2917,10,85.25,85.48,85.25,84.74,84.74,70.4,85.15,68.83,72.62,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 50}"
2919,10,85.25,85.48,85.25,84.74,84.74,70.4,85.15,69.4,72.62,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 52}"
2920,10,85.25,85.48,85.25,84.74,84.74,70.4,85.15,69.68,72.62,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 53}"
2921,10,85.25,85.48,85.25,84.74,84.74,70.4,85.15,70.07,72.62,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 54}"
3046,11,81.97,82.14,81.97,81.44,81.44,63.71,81.85,3.91,69.31,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 99}"
3045,11,81.97,82.14,81.97,81.44,81.44,63.71,81.85,4.27,69.31,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 98}"
2986,11,81.97,82.14,81.97,81.44,81.44,63.71,81.85,3.91,69.31,"{'criterion': 'mae', 'learning_rate': 0.12, 'n_estimators': 86}"
2985,11,81.97,82.14,81.97,81.44,81.44,63.71,81.85,4.27,69.31,"{'criterion': 'mae', 'learning_rate': 0.12, 'n_estimators': 85}"
3017,11,80.33,80.35,80.33,79.92,79.92,60.31,80.25,0.31,67.68,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'n_estimators': 103}"
