model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
1262,4,79.85,79.92,79.85,85.88,81.86,64.8,82.36,17.56,69.32,"{'activation': 'relu', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1263,4,79.85,79.92,79.85,85.88,81.86,64.8,82.36,17.56,69.32,"{'activation': 'relu', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1261,4,79.85,79.92,79.85,85.88,81.86,64.8,82.36,17.56,69.32,"{'activation': 'relu', 'alpha': 0.00041, 'max_iter': 100, 'solver': 'adam', 'tol': 1e-05}"
1249,4,79.52,79.59,79.52,85.97,81.86,64.8,82.36,17.17,69.2,"{'activation': 'tanh', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1251,4,79.52,79.59,79.52,85.97,81.86,64.8,82.36,17.17,69.2,"{'activation': 'tanh', 'alpha': 0.00061, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1677,5,84.14,84.66,84.14,90.32,85.13,71.65,85.67,3.51,73.21,"{'C': 1.4, 'max_iter': 50, 'penalty': 'l2', 'solver': 'saga'}"
1741,5,84.46,84.98,84.46,90.58,84.83,70.93,85.35,3.37,73.2,"{'C': 1.475, 'max_iter': 200, 'penalty': 'none', 'solver': 'lbfgs'}"
1901,5,83.8,84.26,83.8,90.5,85.13,71.65,85.67,3.41,73.1,"{'C': 1.85, 'max_iter': 100, 'penalty': 'none', 'solver': 'newton-cg'}"
1773,5,84.14,84.64,84.14,90.65,84.77,71.02,85.33,3.23,73.08,"{'C': 1.55, 'max_iter': 200, 'penalty': 'l2', 'solver': 'newton-cg'}"
1869,5,83.48,83.92,83.48,90.54,85.07,71.75,85.65,2.97,72.98,"{'C': 0.575, 'max_iter': 200, 'penalty': 'l2', 'solver': 'lbfgs'}"
1997,6,83.16,84.11,83.16,89.99,83.32,68.51,83.94,0.0,72.02,"{'shrinkage': 0.0, 'solver': 'lsqr'}"
1998,6,83.16,84.11,83.16,89.99,83.32,68.51,83.94,0.0,72.02,"{'shrinkage': 0.0, 'solver': 'eigen'}"
1999,6,75.89,76.41,75.89,82.6,75.39,52.04,75.95,31.9,64.27,"{'shrinkage': 0.05, 'solver': 'lsqr'}"
2000,6,75.89,76.41,75.89,82.6,75.39,52.04,75.95,31.9,64.27,"{'shrinkage': 0.5, 'solver': 'lsqr'}"
2001,6,74.25,74.65,74.25,79.07,73.45,47.92,73.99,41.85,62.2,"{'shrinkage': 0.5, 'solver': 'eigen'}"
2227,7,81.49,81.79,81.49,88.84,87.24,75.55,87.7,0.03,73.01,"{'reg_param': 0.5, 'tol': 1e-05}"
2231,7,81.49,81.79,81.49,88.84,87.24,75.55,87.7,0.03,73.01,"{'reg_param': 0.5, 'tol': 0.00081}"
2230,7,81.49,81.79,81.49,88.84,87.24,75.55,87.7,0.03,73.01,"{'reg_param': 0.5, 'tol': 0.00061}"
2229,7,81.49,81.79,81.49,88.84,87.24,75.55,87.7,0.03,73.01,"{'reg_param': 0.5, 'tol': 0.00041}"
2228,7,81.49,81.79,81.49,88.84,87.24,75.55,87.7,0.03,73.01,"{'reg_param': 0.5, 'tol': 0.00021}"
2488,8,84.13,84.34,84.13,90.17,100.0,100.0,100.0,59.71,80.35,"{'criterion': 'entropy', 'n_estimators': 115}"
2490,8,84.13,84.31,84.13,90.21,100.0,100.0,100.0,52.76,80.35,"{'criterion': 'entropy', 'n_estimators': 117}"
2489,8,84.13,84.34,84.13,90.22,100.0,100.0,100.0,54.75,80.35,"{'criterion': 'entropy', 'n_estimators': 116}"
2494,8,84.13,84.38,84.13,90.11,100.0,100.0,100.0,58.36,80.34,"{'criterion': 'entropy', 'n_estimators': 120}"
2493,8,83.8,84.02,83.8,90.22,100.0,100.0,100.0,57.04,80.23,"{'criterion': 'gini', 'n_estimators': 74}"
2667,9,84.81,85.07,84.81,91.22,100.0,100.0,100.0,0.0,80.74,"{'criterion': 'entropy', 'n_estimators': 132}"
2659,9,84.8,84.98,84.8,91.07,100.0,100.0,100.0,0.0,80.71,"{'criterion': 'entropy', 'n_estimators': 125}"
2660,9,84.8,84.98,84.8,91.07,100.0,100.0,100.0,0.0,80.71,"{'criterion': 'entropy', 'n_estimators': 126}"
2714,9,84.48,84.59,84.48,91.8,100.0,100.0,100.0,0.0,80.67,"{'criterion': 'gini', 'n_estimators': 111}"
2715,9,84.48,84.59,84.48,91.76,100.0,100.0,100.0,0.0,80.66,"{'criterion': 'gini', 'n_estimators': 112}"
2808,10,80.83,81.1,80.83,87.46,92.08,84.06,92.08,91.04,74.8,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 55}"
2845,10,80.16,80.31,80.16,83.52,93.35,86.69,93.4,99.49,74.7,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 65}"
2811,10,80.5,80.76,80.5,86.95,92.13,84.1,92.09,92.25,74.63,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 58}"
2812,10,80.16,80.52,80.16,87.19,92.13,84.1,92.09,92.14,74.54,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 59}"
2809,10,80.17,80.42,80.17,87.3,92.08,84.06,92.08,91.13,74.53,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 56}"
3030,11,80.83,81.59,80.83,87.84,99.28,98.68,99.34,3.39,78.55,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'n_estimators': 88}"
3029,11,80.83,81.59,80.83,87.8,99.28,98.68,99.34,3.61,78.54,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'n_estimators': 114}"
2969,11,80.83,81.59,80.83,87.77,99.28,98.68,99.34,3.61,78.54,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 101}"
2970,11,80.83,81.59,80.83,87.82,99.28,98.68,99.34,3.39,78.54,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 102}"
3026,11,80.83,81.45,80.83,87.84,99.28,98.68,99.34,4.1,78.53,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'n_estimators': 111}"
