model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
1316,4,85.82,86.31,85.82,96.67,92.45,84.17,89.77,2.83,77.63,"{'activation': 'logistic', 'alpha': 1e-05, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1315,4,85.82,86.31,85.82,96.67,92.45,84.17,89.77,2.83,77.63,"{'activation': 'logistic', 'alpha': 1e-05, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1257,4,84.4,86.51,84.4,97.02,92.96,84.87,89.98,0.0,77.52,"{'activation': 'tanh', 'alpha': 0.00081, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00081}"
1256,4,84.4,86.51,84.4,97.02,92.96,84.87,89.98,0.0,77.52,"{'activation': 'tanh', 'alpha': 0.00081, 'max_iter': 100, 'solver': 'adam', 'tol': 0.00041}"
1646,5,96.34,96.51,96.34,99.5,98.45,96.96,98.11,0.91,85.28,"{'C': 1.325, 'max_iter': 50, 'penalty': 'none', 'solver': 'saga'}"
1486,5,96.34,96.49,96.34,99.52,98.45,96.96,98.11,1.11,85.27,"{'C': 0.95, 'max_iter': 150, 'penalty': 'none', 'solver': 'sag'}"
1422,5,96.22,96.37,96.22,99.53,98.49,96.96,98.11,1.03,85.24,"{'C': 0.8, 'max_iter': 200, 'penalty': 'none', 'solver': 'newton-cg'}"
1438,5,96.34,96.43,96.34,99.55,98.42,96.77,97.99,0.76,85.23,"{'C': 0.875, 'max_iter': 100, 'penalty': 'l2', 'solver': 'saga'}"
1446,5,96.34,96.43,96.34,99.55,98.42,96.77,97.99,0.76,85.23,"{'C': 0.875, 'max_iter': 150, 'penalty': 'l2', 'solver': 'saga'}"
1997,6,94.09,94.22,94.09,99.21,95.84,91.35,94.57,0.0,82.92,"{'shrinkage': 0.0, 'solver': 'lsqr'}"
1998,6,94.09,94.22,94.09,99.21,95.84,91.35,94.57,0.0,82.92,"{'shrinkage': 0.0, 'solver': 'eigen'}"
1999,6,88.42,88.53,88.42,97.09,91.48,83.28,89.58,6.58,78.35,"{'shrinkage': 0.05, 'solver': 'lsqr'}"
2000,6,88.42,88.53,88.42,97.09,91.48,83.28,89.58,6.58,78.35,"{'shrinkage': 0.5, 'solver': 'lsqr'}"
2001,6,85.22,85.2,85.22,95.57,88.29,77.81,86.14,9.76,75.43,"{'shrinkage': 0.5, 'solver': 'eigen'}"
2367,7,97.4,97.71,97.4,99.38,98.52,96.63,97.9,4.88,85.62,"{'reg_param': 0.1, 'tol': 0.00041}"
2371,7,97.4,97.71,97.4,99.38,98.52,96.63,97.9,4.88,85.62,"{'reg_param': 0.12, 'tol': 1e-05}"
2370,7,97.4,97.71,97.4,99.38,98.52,96.63,97.9,4.88,85.62,"{'reg_param': 0.0, 'tol': 0.00061}"
2369,7,97.4,97.71,97.4,99.38,98.52,96.63,97.9,4.88,85.62,"{'reg_param': 0.1, 'tol': 0.00081}"
2368,7,97.4,97.71,97.4,99.38,98.52,96.63,97.9,4.88,85.62,"{'reg_param': 0.1, 'tol': 0.00061}"
2565,8,96.46,96.6,96.46,99.65,100.0,100.0,100.0,1.92,86.15,"{'criterion': 'gini', 'n_estimators': 121}"
2496,8,96.46,96.56,96.46,99.71,100.0,100.0,100.0,75.9,86.15,"{'criterion': 'entropy', 'n_estimators': 122}"
2484,8,96.34,96.46,96.34,99.71,100.0,100.0,100.0,77.97,86.11,"{'criterion': 'entropy', 'n_estimators': 111}"
2488,8,96.34,96.46,96.34,99.71,100.0,100.0,100.0,76.6,86.11,"{'criterion': 'entropy', 'n_estimators': 115}"
2486,8,96.34,96.46,96.34,99.71,100.0,100.0,100.0,75.15,86.11,"{'criterion': 'entropy', 'n_estimators': 113}"
2766,9,97.64,97.71,97.64,99.79,100.0,100.0,100.0,0.0,86.6,"{'criterion': 'entropy', 'n_estimators': 79}"
2765,9,97.64,97.71,97.64,99.79,100.0,100.0,100.0,0.0,86.6,"{'criterion': 'entropy', 'n_estimators': 78}"
2764,9,97.52,97.6,97.52,99.78,100.0,100.0,100.0,0.0,86.55,"{'criterion': 'entropy', 'n_estimators': 77}"
2758,9,97.52,97.58,97.52,99.78,100.0,100.0,100.0,0.0,86.55,"{'criterion': 'entropy', 'n_estimators': 71}"
2721,9,97.4,97.49,97.4,99.75,100.0,100.0,100.0,0.0,86.51,"{'criterion': 'gini', 'n_estimators': 118}"
2919,10,83.45,84.39,83.45,92.05,89.89,82.13,88.73,99.57,75.51,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 52}"
2914,10,83.21,84.36,83.21,91.97,89.5,81.37,88.22,99.39,75.23,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 48}"
2921,10,83.57,84.35,83.57,92.02,89.09,80.99,87.99,99.79,75.2,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 54}"
2916,10,82.63,83.95,82.63,92.08,89.57,81.75,88.48,99.29,75.13,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 49}"
2823,10,84.63,86.29,84.63,93.24,87.11,78.35,86.37,6.41,75.08,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 69}"
3040,11,96.1,96.2,96.1,99.73,100.0,100.0,100.0,0.18,86.02,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 94}"
2980,11,96.1,96.2,96.1,99.73,100.0,100.0,100.0,0.18,86.02,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 111}"
3019,11,96.1,96.21,96.1,99.7,100.0,100.0,100.0,1.2,86.01,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'n_estimators': 87}"
3027,11,96.1,96.2,96.1,99.71,100.0,100.0,100.0,0.72,86.01,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'n_estimators': 112}"
2979,11,96.1,96.2,96.1,99.72,100.0,100.0,100.0,0.22,86.01,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 110}"
