model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss,overall_performance,params
2448,8,95.71,95.71,95.71,95.24,95.24,90.49,95.71,65.73,82.98,"{'criterion': 'gini', 'n_estimators': 61}"
2549,8,95.71,95.71,95.71,95.24,95.24,90.49,95.71,21.97,82.98,"{'criterion': 'gini', 'n_estimators': 107}"
2550,8,95.71,95.71,95.71,95.24,95.24,90.49,95.71,17.42,82.98,"{'criterion': 'gini', 'n_estimators': 108}"
2551,8,95.71,95.71,95.71,95.24,95.24,90.49,95.71,16.31,82.98,"{'criterion': 'gini', 'n_estimators': 109}"
2666,9,95.71,95.71,95.71,95.24,95.24,90.49,95.71,44.22,82.98,"{'criterion': 'entropy', 'n_estimators': 131}"
2662,9,95.71,95.71,95.71,95.24,95.24,90.49,95.71,59.39,82.98,"{'criterion': 'entropy', 'n_estimators': 128}"
2670,9,95.71,95.71,95.71,95.24,95.24,90.49,95.71,47.04,82.98,"{'criterion': 'entropy', 'n_estimators': 135}"
2669,9,95.71,95.71,95.71,95.24,95.24,90.49,95.71,46.17,82.98,"{'criterion': 'entropy', 'n_estimators': 134}"
2668,9,95.71,95.71,95.71,95.24,95.24,90.49,95.71,41.27,82.98,"{'criterion': 'entropy', 'n_estimators': 133}"
2815,10,95.71,95.71,95.71,95.24,95.24,90.49,95.71,61.44,82.98,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 61}"
2822,10,95.71,95.71,95.71,95.24,95.24,90.49,95.71,66.15,82.98,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 68}"
2814,10,95.71,95.71,95.71,95.24,95.24,90.49,95.71,59.32,82.98,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 60}"
2817,10,95.71,95.71,95.71,95.24,95.24,90.49,95.71,61.91,82.98,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 63}"
2819,10,95.71,95.71,95.71,95.24,95.24,90.49,95.71,63.7,82.98,"{'algorithm': 'SAMME', 'learning_rate': 1.2, 'n_estimators': 65}"
2982,11,95.71,95.71,95.71,95.24,95.24,90.49,95.71,7.48,82.98,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 113}"
3042,11,95.71,95.71,95.71,95.24,95.24,90.49,95.71,7.48,82.98,"{'criterion': 'friedman_mse', 'learning_rate': 0.12, 'n_estimators': 95}"
2977,11,95.71,95.71,95.71,95.24,95.24,90.49,95.71,5.42,82.98,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 108}"
2978,11,95.71,95.71,95.71,95.24,95.24,90.49,95.71,5.71,82.98,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 109}"
2979,11,95.71,95.71,95.71,95.24,95.24,90.49,95.71,5.95,82.98,"{'criterion': 'mae', 'learning_rate': 0.01, 'n_estimators': 110}"
